size,time
64200,732
64300,744
64400,732
64500,768
64600,744
64700,744
64800,732
64900,768
65000,744
65100,744
65200,756
65300,756
65400,744
65500,744
65600,780
65700,792
65800,792
65900,792
66000,768
66100,804
66200,780
66300,780
66400,780
66500,780
66600,780
66700,767
66800,780
66900,804
67000,768
67100,768
67200,768
67300,780
67400,780
67500,780
67600,780
67700,792
67800,768
67900,780
68000,780
68100,780
68200,756
68300,792
68400,779
68500,780
68600,780
68700,792
68800,768
68900,780
69000,779
69100,792
69200,791
69300,792
69400,780
69500,792
69600,791
69700,780
69800,768
69900,804
70000,768
70100,792
70200,779
70300,780
70400,780
70500,792
70600,768
70700,792
70800,768
70900,780
71000,792
71100,780
71200,768
71300,780
71400,792
71500,792
71600,767
71700,792
71800,780
71900,792
72000,780
72100,780
72200,768
72300,804
72400,780
72500,780
72600,780
72700,792
72800,792
72900,791
73000,780
73100,780
73200,768
73300,804
73400,792
73500,780
73600,792
73700,804
73800,780
73900,780
74000,780
74100,792
74200,792
74300,792
74400,756
74500,780
74600,768
74700,792
74800,780
74900,780
75000,780
75100,780
75200,768
75300,779
75400,756
75500,768
75600,792
75700,804
75800,768
75900,792
76000,768
76100,768
76200,756
76300,792
76400,768
76500,792
76600,756
76700,768
76800,768
76900,780
77000,768
77100,768
77200,756
77300,780
77400,780
77500,780
77600,756
77700,768
77800,768
77900,780
78000,768
78100,780
78200,780
78300,792
78400,768
78500,792
78600,768
78700,780
78800,780
78900,768
79000,756
79100,767
79200,768
79300,780
79400,768
79500,768
79600,768
79700,780
79800,756
79900,768
80000,768
80100,780
80200,768
80300,780
80400,768
80500,792
80600,768
80700,780
80800,744
80900,768
81000,768
81100,804
81200,767
81300,792
81400,756
81500,792
81600,756
81700,780
81800,768
81900,792
82000,768
82100,780
82200,780
82300,780
82400,767
82500,768
82600,756
82700,780
82800,780
82900,780
83000,792
83100,780
83200,768
83300,780
83400,780
83500,780
83600,756
83700,780
83800,768
83900,780
84000,768
84100,792
84200,768
84300,768
84400,768
84500,779
84600,780
84700,804
84800,780
84900,792
85000,768
85100,768
85200,780
85300,792
85400,780
85500,780
85600,768
85700,768
85800,780
85900,792
86000,768
86100,768
86200,792
86300,780
86400,780
86500,792
86600,756
86700,780
86800,768
86900,792
87000,768
87100,780
87200,768
87400,792
87500,792
87600,768
87700,780
87800,768
87900,792
88000,768
88100,792
88200,756
88300,780
88400,756
88500,792
88600,756
88700,768
88800,792
88900,780
89000,768
89100,780
89200,780
89300,780
89400,768
89500,780
89600,756
89700,792
89800,768
89900,792
90000,780
90100,792
90200,792
90300,792
90400,780
90500,780
90600,792
90700,791
90800,768
90900,780
91000,768
91100,792
91200,780
91300,780
91400,767
91500,768
91600,780
91700,768
91800,768
91900,804
92000,780
92100,768
92200,780
92300,792
92400,780
92500,792
92600,780
92700,780
92800,768
92900,792
93000,780
93100,780
93200,780
93300,780
93400,780
93500,768
93600,768
93700,792
93800,768
93900,767
94000,780
94100,780
94200,780
94300,804
94400,768
94500,780
94600,780
94700,791
94800,780
94900,792
95000,768
95100,792
95200,768
95300,780
95400,756
95500,792
95600,780
95700,780
95800,768
95900,768
96000,756
96100,804
96200,780
96300,804
96400,768
96500,792
96600,768
96700,780
96800,756
96900,780
97000,780
97100,780
97200,780
97300,768
97400,768
97500,780
97600,768
97700,768
97800,768
97900,792
98000,780
98100,780
98200,768
98300,827
98400,792
98500,780
98600,780
98700,780
98800,756
98900,780
99000,768
99100,792
99200,756
99300,780
99400,744
99500,780
99600,768
99700,792
99800,791
99900,780
100000,780
100100,768
100200,768
100300,792
100400,779
100500,780
100600,780
100700,792
100800,768
100900,792
101000,780
101100,792
101200,768
101300,780
101400,780
101500,768
101600,780
101700,768
101800,756
101900,768
102000,768
102100,792
102200,756
102300,780
102400,780
102500,780
102600,768
102700,780
102800,756
102900,792
103000,768
103100,780
103200,756
103300,792
103400,768
103500,768
103600,780
103700,792
103800,768
103900,791
104000,768
104100,768
104200,756
104300,792
104400,780
104500,792
104600,768
104700,792
104800,768
104900,780
105000,768
105100,792
105200,780
105300,792
105400,768
105500,792
105600,780
105700,791
105800,768
105900,768
106000,768
106100,792
106200,768
106300,780
106400,768
106500,780
106600,756
106700,768
106800,780
106900,780
107000,744
107100,779
107200,755
107300,780
107400,792
107500,780
107600,792
107700,792
107800,780
107900,780
108000,780
108100,780
108200,768
108300,780
108400,780
108500,792
108600,768
108700,780
108800,756
108900,780
109000,768
109100,768
109200,768
109300,768
109400,768
109500,768
109600,756
109700,792
109800,768
109900,780
110000,756
110100,780
110200,792
110300,780
110400,768
110500,768
110600,768
110700,768
110800,756
110900,780
111000,756
111100,780
111200,768
111300,780
111400,756
111500,768
111600,756
111700,756
111800,744
111900,756
112000,756
112100,792
112200,756
112300,756
112400,768
112500,792
112600,768
112700,768
112800,756
112900,780
113000,768
113100,780
113200,756
113300,768
113400,768
113500,780
113600,768
113700,780
113800,756
113900,804
114000,768
114100,780
114200,768
114300,792
114400,768
114500,768
114600,756
114700,780
114800,755
114900,780
115000,768
115100,756
115200,756
115300,767
115400,756
115500,780
115600,768
115700,792
115800,780
115900,780
116000,768
116100,768
116200,756
116300,768
116400,768
116500,780
116600,780
116700,780
116800,756
116900,780
117000,768
117100,780
117200,780
117300,768
117400,768
117500,768
117600,756
117700,756
117800,768
117900,828
118000,768
118100,768
118200,792
118300,780
118400,756
118500,768
118600,768
118700,768
118800,780
118900,780
119000,756
119100,780
119200,780
119300,768
119400,768
119500,791
119600,780
119700,792
119800,756
119900,780
120000,780
120100,792
120200,768
120300,780
120400,768
120500,768
120600,768
120700,780
120800,756
120900,780
121000,756
121100,768
121200,780
121300,780
121400,744
121500,780
121600,768
121700,792
121800,767
121900,780
122000,768
122100,780
122200,756
122300,780
122400,768
122500,780
122600,756
122700,780
122800,756
122900,780
123000,768
123100,780
123200,780
123300,768
123400,756
123500,780
123600,780
123700,767
123800,768
123900,780
124000,768
124100,768
124200,756
124300,768
124400,756
124500,792
124600,756
124700,768
124800,768
124900,792
125000,756
125100,780
125200,756
125300,780
125400,792
125500,780
125600,768
125700,780
125900,780
126000,756
126100,780
126200,780
126300,803
126400,768
126500,768
126600,756
126700,768
126800,768
126900,780
127000,768
127100,780
127200,768
127300,768
127400,768
127500,768
127600,756
127700,780
127800,768
127900,768
128000,768
128100,780
128200,780
128300,792
128400,768
128500,780
128600,792
128700,780
128800,804
128900,780
129000,768
129100,780
129200,768
129300,767
129400,768
129500,792
129600,768
129700,792
129800,768
129900,780
130000,756
130100,768
130200,780
130300,780
130400,768
130500,767
130600,756
130700,768
130800,756
130900,768
131000,756
131100,816
131200,792
131300,804
131400,792
131500,816
131600,780
131700,804
131800,792
131900,791
132000,792
132100,792
132200,792
132300,816
132400,804
132500,816
132600,804
132700,828
132800,804
132900,816
133000,792
133100,816
133200,804
133300,816
133400,804
133500,804
133600,792
133700,804
133800,804
133900,816
134000,804
134100,804
134200,792
134400,816
134500,804
134600,792
134700,803
134800,792
134900,804
135000,804
135100,804
135200,792
135300,816
135400,792
135500,816
135600,791
135700,816
135800,804
135900,816
136000,792
136100,804
136200,804
136300,816
136400,791
136500,804
136600,792
136700,804
136800,804
136900,803
137000,792
137100,804
137200,792
137300,827
137400,792
137500,804
137600,828
137700,816
137800,792
137900,816
138000,792
138100,816
138200,816
138300,804
138400,804
138500,816
138600,792
138700,828
138800,804
138900,804
139000,792
139100,804
139200,804
139300,804
139400,791
139500,792
139600,792
139700,804
139800,792
139900,804
140000,816
140100,804
140200,804
140300,804
140400,792
140500,792
140600,792
140700,792
140800,804
140900,828
141000,816
141100,864
141200,828
141300,840
141400,828
141500,840
141600,828
141700,839
141800,828
141900,840
142000,839
142100,840
142200,840
142300,816
142400,792
142500,816
142600,792
142700,816
142800,804
142900,792
143000,804
143100,816
143200,804
143300,804
143400,779
143500,804
143600,792
143700,816
143800,792
143900,804
144000,804
144100,816
144200,792
144300,816
144400,804
144500,816
144600,804
144700,804
144800,792
144900,816
145000,828
145100,816
145200,816
145300,816
145400,804
145500,815
145600,804
145700,804
145800,828
145900,816
146000,792
146100,828
146200,804
146300,827
146400,804
146500,816
146600,804
146700,828
146800,816
146900,816
147000,792
147100,816
147200,804
147300,816
147400,804
147500,816
147600,804
147700,864
147800,816
147900,804
148000,804
148100,840
148200,828
148300,816
148400,803
148500,816
148600,792
148700,852
148800,804
148900,816
149000,816
149100,828
149200,804
149300,792
149400,827
149500,804
149600,804
149700,816
149800,803
149900,828
150000,804
150100,828
150200,804
150300,804
150400,816
150500,816
150600,792
150700,804
150800,791
150900,816
151000,816
151100,804
151200,791
151300,816
151400,804
151500,816
151600,804
151700,828
151800,792
151900,816
152000,792
152100,840
152200,816
152300,816
152400,792
152500,816
152600,804
152700,804
152800,816
152900,828
153000,816
153100,828
153200,804
153300,816
153400,804
153500,804
153600,804
153700,828
153800,804
153900,816
154000,816
154100,816
154200,804
154300,816
154400,828
154500,804
