size,time
64200,720
64300,732
64400,816
64500,744
64600,732
64700,732
64800,732
64900,732
65000,744
65100,720
65200,708
65300,720
65400,732
65500,732
65600,756
65700,768
65800,768
65900,744
66000,768
66100,744
66200,768
66300,756
66400,756
66500,768
66600,768
66700,756
66800,768
66900,780
67000,756
67100,768
67200,768
67300,768
67400,756
67500,768
67600,756
67700,756
67800,768
67900,768
68000,756
68100,780
68200,756
68300,780
68400,756
68500,756
68600,744
68700,756
68800,756
68900,768
69000,792
69100,792
69200,816
69300,816
69400,804
69500,804
69600,792
69700,780
69800,804
69900,816
70000,780
70100,792
70200,780
70300,792
70400,756
70500,768
70600,780
70700,756
70800,768
70900,768
71000,780
71100,768
71200,756
71300,756
71400,780
71500,768
71600,768
71700,756
71800,768
71900,768
72000,768
72100,768
72200,768
72300,780
72400,768
72500,756
72600,780
72700,780
72800,792
72900,780
73000,768
73100,768
73200,768
73300,768
73400,768
73500,768
73600,780
73700,780
73800,768
73900,780
74000,768
74100,756
74200,780
74300,768
74400,756
74500,792
74600,768
74700,768
74800,780
74900,756
75000,816
75100,756
75200,768
75300,756
75400,768
75500,780
75600,768
75700,780
75800,768
75900,828
76000,768
76100,792
76200,840
76300,768
76400,828
76500,792
76600,755
76700,780
76800,780
76900,780
77000,756
77100,768
77200,756
77300,768
77400,756
77500,780
77600,768
77700,768
77800,756
77900,780
78000,768
78100,780
78200,768
78300,768
78400,756
78500,792
78600,768
78700,768
78800,756
78900,792
79000,768
79100,792
79200,780
79300,780
79400,804
79500,768
79600,828
79700,780
79800,780
79900,792
80000,768
80100,768
80200,756
80300,780
80400,780
80500,780
80600,792
80700,780
80800,780
80900,792
81000,780
81100,828
81200,768
81300,780
81400,780
81500,780
81600,756
81700,768
81800,756
81900,792
82000,744
82100,780
82200,756
82300,792
82400,780
82500,768
82600,756
82700,768
82800,768
82900,780
83000,768
83100,768
83200,768
83300,768
83400,756
83500,780
83600,768
83700,768
83800,768
83900,816
84000,768
84100,780
84200,756
84300,768
84400,756
84500,780
84600,780
84700,792
84800,792
84900,780
85000,768
85100,792
85200,768
85300,780
85400,768
85500,780
85600,780
85700,792
85800,780
85900,780
86000,768
86100,792
86200,768
86300,768
86400,756
86500,780
86600,756
86700,792
86800,756
86900,768
87000,852
87100,780
87200,780
87300,792
87400,780
87500,780
87600,756
87700,780
87800,768
87900,780
88000,756
88100,780
88200,768
88300,768
88400,780
88500,768
88600,780
88700,792
88800,876
88900,768
89000,756
89100,768
89200,768
89300,876
89400,792
89500,780
89600,780
89700,768
89800,756
89900,768
90000,768
90100,768
90200,756
90300,780
90400,756
90500,768
90600,768
90700,780
90800,840
90900,792
91000,768
91100,792
91200,768
91300,792
91400,780
91500,780
91600,791
91700,768
91800,768
91900,804
92000,780
92100,804
92200,768
92300,780
92400,768
92500,804
92600,768
92700,780
92800,768
92900,780
93000,756
93100,756
93200,780
93300,768
93400,756
93500,792
93600,768
93700,780
93800,780
93900,780
94000,768
94100,780
94200,756
94300,840
94400,816
94500,768
94600,780
94700,780
94800,792
94900,792
95000,768
95100,780
95200,828
95300,780
95400,768
95500,792
95600,768
95700,792
95800,744
95900,756
96000,744
96100,780
96200,756
96300,768
96400,756
96500,780
96600,756
96700,780
96800,780
96900,768
97000,768
97100,780
97200,744
97300,792
97400,756
97500,792
97600,768
97700,756
97800,840
97900,768
98000,768
98100,768
98200,756
98300,804
98400,780
98500,780
98600,780
98700,792
98800,756
98900,792
99000,768
99100,780
99200,768
99300,804
99400,756
99500,780
99600,768
99700,792
99800,780
99900,756
100000,744
100100,792
100200,756
100300,792
100400,768
100500,756
100600,768
100700,780
100800,768
100900,780
101000,756
101100,780
101200,768
101300,780
101400,816
101500,768
101600,768
101700,768
101800,756
101900,756
102000,768
102100,780
102200,756
102300,768
102400,792
102500,780
102600,768
102700,780
102800,768
102900,768
103000,780
103100,780
103200,756
103300,780
103400,756
103500,780
103600,768
103700,780
103800,756
103900,768
104000,768
104100,780
104200,768
104300,768
104400,768
104500,768
104600,768
104700,792
104800,768
104900,768
105000,768
105100,780
105200,768
105300,792
105400,756
105500,768
105600,768
105700,792
105800,780
105900,780
106000,792
106100,756
106200,768
106300,768
106400,768
106500,780
106600,768
106700,792
106800,768
106900,780
107000,768
107100,804
107200,768
107300,792
107400,780
107500,780
107600,768
107700,792
107800,780
107900,780
108000,792
108100,768
108200,780
108300,780
108400,768
108500,768
108600,756
108700,780
108800,756
108900,780
109000,768
109100,804
109200,792
109300,876
109400,780
109500,768
109600,768
109700,792
109800,768
109900,756
110000,744
110100,780
110200,756
110300,780
110400,768
110500,756
110600,756
110700,780
110800,816
110900,780
111000,780
111100,780
111200,768
111300,852
111400,780
111500,780
111600,768
111700,792
111800,768
111900,792
112000,768
112100,780
112200,756
112300,768
112400,768
112500,768
112600,768
112700,780
112800,780
112900,780
113000,768
113100,780
113200,768
113300,768
113400,780
113500,780
113600,756
113700,780
113800,792
113900,792
114000,768
114100,756
114200,780
114300,792
114400,768
114500,768
114600,744
114700,780
114800,768
114900,792
115000,768
115100,780
115200,816
115300,780
115400,768
115500,780
115600,744
115700,780
115800,780
115900,792
116000,768
116100,792
116200,792
116300,792
116400,756
116500,792
116600,780
116700,804
116800,756
116900,780
117000,756
117100,768
