size,time
994670,3216
994660,3456
994650,3048
994640,3612
994630,3816
994620,2988
994610,4164
994600,3792
994590,3828
994580,3996
994570,3396
994560,3204
994550,3780
994540,3996
994530,3924
994520,4296
994510,3336
994500,3540
994490,4104
994480,3816
994470,3132
994460,3432
994450,3216
994440,3276
994430,3912
994420,3000
994410,3132
994400,2916
994390,3432
994380,3600
994370,3396
994360,3444
994350,3396
994340,3516
994330,3684
994320,3360
994310,3456
994300,3624
994290,3456
994280,2964
994270,3660
994260,3936
994250,3816
994240,3960
994230,3768
994220,3732
994210,3408
994200,3264
994190,3216
994180,3768
994170,3444
994160,3192
994150,3216
994140,3888
994130,3408
994120,4104
994110,3108
994100,3828
994090,3360
994080,3468
994070,3600
994060,4092
994050,3323
994040,3600
994030,3948
994020,3528
994010,3528
994000,3768
993990,3864
993980,4428
993970,3636
993960,3744
993950,3612
993940,3600
993930,3600
993920,3648
993910,3216
993900,3204
993890,3720
993880,3804
993870,3564
993860,3348
993850,3216
993840,3528
993830,2880
993820,3024
993810,3900
993800,4044
993790,3528
993780,4128
993770,3660
993760,3828
993750,3312
993740,3240
993730,3456
993720,3600
993710,3984
993700,4152
993690,3180
993680,3408
993670,3108
993660,3336
993650,3564
993640,4260
993630,3000
993620,3960
993610,3444
993600,3588
993590,3444
993580,2856
993570,3648
993560,3732
993550,3840
993540,2856
993530,3720
993520,3684
993510,3143
993500,3288
993490,3660
993480,3480
993470,3540
993460,3432
993450,5988
993440,3492
993430,3372
993420,3324
993410,3204
993400,2844
993390,3264
993380,3924
993370,4332
993360,4044
993350,3420
993340,3564
993330,3768
993320,3360
993310,3000
993300,3516
993290,4284
993280,3324
993270,3132
993260,3948
993250,3012
993240,3780
993230,3492
993220,3384
993210,3468
993200,3192
993190,3312
993180,3444
993170,4404
993160,3528
993150,3864
993140,3804
993130,3924
993120,3348
993110,2940
993100,3900
993090,3300
993080,3564
993070,3803
993060,3204
993050,4044
993040,3156
993030,3456
993020,3588
993010,3396
993000,3240
992990,2988
992980,3588
992970,3336
992960,3108
992950,3432
992940,2856
992930,3252
992920,3408
992910,2759
992900,3156
992890,3588
992880,2724
992870,3504
992860,3096
992850,3972
992840,3539
992830,3228
992820,3276
992810,4044
992800,3576
992790,3240
992780,3624
992770,3840
992760,4787
992750,3768
992740,3420
992730,3348
992720,3588
992710,4380
992700,3816
992690,3108
992680,3648
992670,2988
992660,3528
992650,2916
992640,3648
992630,3888
992620,3540
992610,3480
992600,3576
992590,3660
992580,2808
992570,3612
992560,3372
992550,3312
992540,3744
992530,3060
992520,3143
992510,3540
992500,3324
992490,3612
992480,2976
992470,4428
992460,3144
992450,3612
992440,4032
992430,3732
992420,2916
992410,2928
992400,3972
992390,3432
992380,3336
992370,3684
992360,3564
992350,3372
992340,3216
992330,3192
992320,3840
992310,3864
992300,3552
992290,3144
992280,2916
992270,3276
992260,3240
992250,3408
992240,3636
992230,2880
992220,3408
992210,3120
992200,3024
992190,3216
992180,3204
992170,3228
992160,3756
992150,3456
